time (s)	magX	magY	magZ
5376.734969	-188.971954	-119.357109	-59.980713
5376.738305	-190.374649	-120.759796	-61.617184
5376.741650	-192.361771	-121.168907	-63.019871
5376.744973	-193.764450	-122.805382	-63.954998
5376.748312	-194.641144	-124.091179	-65.182350
5376.751661	-196.569824	-124.850960	-66.175919
5376.754977	-198.030975	-125.961433	-68.338394
5376.758299	-200.076569	-126.662773	-69.215080
5376.761636	-201.654587	-127.948570	-70.383987
5376.764972	-203.291061	-129.818817	-71.728226
5376.768300	-205.161316	-129.818817	-73.540039
5376.771638	-207.499130	-130.929291	-76.403854
5376.774970	-208.551132	-132.741089	-78.215660
5376.778306	-211.531860	-133.910004	-79.676796
5376.781640	-213.518982	-134.494446	-81.839279
5376.784994	-215.506134	-136.598480	-83.884857
5376.788303	-217.960846	-138.234940	-86.222672
5376.791636	-220.298645	-140.046768	-88.852722
5376.794972	-222.636475	-141.624786	-91.248978
5376.798298	-225.032715	-142.910583	-94.288132
5376.801626	-227.838104	-144.780838	-96.625946
5376.804969	-230.526611	-146.475739	-100.132675
5376.808301	-232.922852	-148.521332	-102.704269
5376.811638	-235.786682	-150.976028	-106.094101
5376.814991	-238.475159	-152.554062	-109.191696
5376.818296	-241.572754	-155.067215	-113.399765
5376.821630	-244.553467	-156.820587	-117.666275
5376.824966	-247.300415	-159.099945	-121.465225
5376.828305	-250.865601	-161.437759	-125.673294
5376.831634	-254.372284	-163.308014	-129.647583
5376.834963	-257.645233	-165.412048	-135.199890
5376.838296	-260.567505	-168.451202	-138.998840
5376.841626	-263.840454	-170.496780	-143.440674
5376.844958	-267.171814	-172.717712	-149.226761
5376.848297	-270.561646	-175.172424	-154.194626
5376.851629	-273.893066	-178.036240	-159.337814
5376.854960	-276.873749	-180.374054	-164.422562
5376.858309	-280.555817	-182.419647	-170.208649
5376.861633	-284.413208	-185.341904	-175.118057
5376.864962	-288.036835	-187.796616	-180.378143
5376.868299	-291.543549	-190.192871	-186.924026
5376.871625	-295.634705	-192.413788	-192.943893
