crossing time (s)	slope (V/s)	crossing number
6557.029196	129.515899	1364
6558.093970	122.445265	1365
6559.164583	124.425255	1366
6560.169282	126.042293	1367
6561.212682	127.012922	1368
6562.231335	119.817812	1369
6563.269374	113.313008	1370
6564.296230	108.282176	1371
6565.337320	99.309544	1372
6566.383643	91.373546	1373
6567.438332	97.220522	1374
6568.466003	95.181005	1375
6569.480361	87.963858	1376
6570.528733	81.640435	1377
6571.570416	79.322066	1378
6572.607096	75.474420	1379
6573.631235	67.292837	1380
6574.654641	64.590782	1381
6575.695673	67.817835	1382
6576.726608	64.471824	1383
6577.772770	58.356566	1384
6578.806140	55.948169	1385
6579.872988	54.073450	1386
6580.877795	51.075791	1387
6581.922706	50.012731	1388
6582.927557	46.648516	1389
6583.997838	44.821663	1390
6584.996208	39.821009	1391
6586.064083	39.888175	1392
6587.091833	37.520699	1393
6588.119732	37.592066	1394
6589.156280	33.165543	1395
6590.203916	34.349264	1396
6591.218420	31.074682	1397
6592.262053	28.984725	1398
6593.291808	26.858706	1399
6594.327360	26.542890	1400
6595.365926	25.409673	1401
6596.401445	24.284705	1402
6597.418875	22.615643	1403
6598.487201	21.165739	1404
6599.495513	21.488234	1405
6600.535432	20.066758	1406
6601.556911	19.219534	1407
6602.597310	18.018618	1408
6603.641322	17.036994	1409
6604.683126	15.905063	1410
6605.716728	15.606944	1411
6606.769102	15.580243	1412
6607.755886	14.617804	1413
6608.802037	12.645942	1414
6609.833438	13.054325	1415
6610.869589	12.712607	1416
6611.911935	12.114428	1417
6612.939919	11.754193	1418
6613.992370	10.773371	1419
6615.016559	8.150719	1420
6616.047541	9.705186	1421
6617.083897	6.615604	1422
6618.122906	8.561344	1423
6619.165623	8.248202	1424
6620.175993	7.920671	1425
6621.231711	6.258620	1426
6622.254466	6.691098	1427
6623.317520	6.339262	1428
6624.329370	5.750298	1429
6625.375556	5.309746	1430
6626.401992	5.586032	1431
6627.416157	5.774351	1432
6628.479967	4.037447	1433
6629.495026	5.377090	1434
6630.510829	4.199995	1435
6631.556282	3.659557	1436
6632.597964	3.293645	1437
6633.673824	4.509991	1438
6634.663010	3.459263	1439
6635.724357	2.823455	1440
6636.722566	4.649148	1441
6637.763116	2.196199	1442
6638.786229	2.063414	1443
6639.864948	3.937805	1444
6640.842857	1.494014	1445
6641.963552	1.500637	1446
6642.929528	1.522408	1447
6644.034937	2.378998	1448
6644.942147	2.375534	1449
6646.112817	1.456652	1450
6647.054171	1.311399	1451
6648.137102	1.333300	1452
6649.139275	0.826982	1453
6650.235121	9.381314	1454
6651.189173	1.891390	1455
6652.306319	1.041652	1456
6653.232742	1.827743	1457
6654.351601	1.227315	1458
6655.343138	2.031635	1459
6656.420795	1.287286	1460
6657.381978	0.259247	1461
6658.456656	1.150504	1462
6659.461160	0.519479	1463
