time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
5843.255892	31.340412	1.199002	-0.024599	179
5845.323886	31.512554	1.170403	-0.019958	181
5847.389230	32.086491	1.137912	-0.017236	183
5849.457825	32.125191	1.097790	-0.016872	185
5851.531018	31.721563	1.063086	-0.015082	187
5853.603857	31.476727	1.035419	-0.012138	189
5855.673464	31.497442	1.011817	-0.010171	191
5857.741258	31.614288	0.984218	-0.008629	193
5859.808211	31.644522	0.955901	-0.007609	195
5861.875806	31.690331	0.925612	-0.006521	197
5863.944813	31.670794	0.896927	-0.005597	199
5866.014956	31.655096	0.868550	-0.004426	201
5868.085202	31.810654	0.841700	-0.003526	203
5870.156509	31.984665	0.817228	-0.002699	205
5872.225320	32.070572	0.795839	-0.002232	207
5874.290031	31.857519	0.773536	-0.002181	209
5876.354116	31.357077	0.746689	-0.001636	211
5878.419432	31.096289	0.718671	-0.000283	213
5880.492116	31.442295	0.692806	0.001095	215
5882.567799	32.063564	0.673925	0.001076	217
5884.635843	32.104507	0.657656	0.000208	219
5886.697702	31.489902	0.636873	0.000197	221
5888.759582	31.045788	0.612135	0.001165	223
5890.828869	31.118456	0.588570	0.002086	225
5892.903606	31.486328	0.569023	0.002541	227
5894.976235	31.725492	0.552831	0.002469	229
5897.048213	31.772266	0.536958	0.002388	231
5899.115459	31.682959	0.519400	0.002564	233
5901.182378	31.605526	0.501617	0.002715	235
5903.250078	31.516041	0.485649	0.002860	237
5905.319616	31.420538	0.469700	0.003247	239
5907.387193	31.287390	0.454597	0.003313	241
5909.456447	31.128937	0.439691	0.003567	243
5911.521993	31.198997	0.425617	0.003881	245
5913.583073	31.458530	0.412643	0.004071	247
5915.641716	31.937887	0.397393	0.004016	249
5917.705566	32.276169	0.382410	0.004012	251
5919.777941	32.016666	0.367011	0.003510	253
5921.857669	31.340952	0.355247	0.003265	255
5923.931886	30.842279	0.345398	0.003725	1
5925.997130	31.005060	0.336953	0.004447	3
5928.055414	31.669325	0.325535	0.004471	5
5930.112540	32.209488	0.312689	0.004294	7
5932.175212	32.345913	0.300725	0.004092	9
5934.245192	32.163071	0.289718	0.003870	11
5936.316954	31.922697	0.280243	0.003980	13
5938.393343	31.734604	0.271275	0.004075	15
5940.460736	31.696079	0.262314	0.004121	17
5942.528721	28.172997	0.185546	0.012987	19
5943.582290	218.415070	0.160769	0.018283	21
5945.652573	211.583237	0.240326	0.004106	23
5947.721569	211.720367	0.231169	0.004201	25
5949.800272	211.920746	0.222078	0.004452	27
5951.874035	212.180588	0.214153	0.004252	29
5953.945631	212.206512	0.207833	0.004137	31
5956.003914	212.126266	0.202478	0.003716	33
5958.058896	211.471466	0.197389	0.003351	35
5960.117102	210.780380	0.190313	0.003440	37
5962.171677	210.525208	0.182671	0.003805	39
5964.247094	205.609955	0.130035	0.011827	41
5965.261320	39.353924	0.116064	0.015586	43
5967.319904	31.359707	0.169391	0.003251	45
5969.371354	30.762655	0.161601	0.003347	47
5971.442838	30.651613	0.153643	0.003363	49
5973.503936	30.962214	0.148178	0.003321	51
5975.584847	31.453228	0.144018	0.003213	53
5977.658089	31.547953	0.138825	0.003432	55
5979.739972	31.770473	0.135299	0.003307	57
5981.818167	31.924683	0.131050	0.003347	59
5983.876041	31.536463	0.127645	0.003331	61
5985.932787	31.600754	0.123515	0.003135	63
5987.983762	32.005585	0.119364	0.003495	65
5990.026277	32.521252	0.114616	0.003474	67
