time (s)	det(V)
7658.488678	-1.661510	
7658.490339	-1.661671	
7658.491925	-1.661522	
7658.493610	-1.661582	
7658.495180	-1.661462	
7658.496875	-1.661667	
7658.498429	-1.661566	
7658.500145	-1.661699	
7658.501697	-1.661607	
7658.503391	-1.661554	
7658.504951	-1.661566	
7658.506683	-1.660704	
7658.508187	-1.507612	
7658.509940	-1.291303	
7658.511421	-1.125240	
7658.513197	-0.942189	
7658.514677	-0.785411	
7658.516432	-0.597236	
7658.517915	-0.412807	
7658.519704	-0.198658	
7658.521187	-0.006253	
7658.522966	0.215836	
7658.524454	0.393348	
7658.526191	0.563851	
7658.527705	0.727155	
7658.529425	0.915278	
7658.530950	1.090417	
7658.532664	1.264066	
7658.534207	1.463113	
7658.535897	1.587250	
7658.537450	1.593151	
7658.539144	1.593276	
7658.540706	1.593103	
7658.542389	1.593417	
7658.543991	1.593047	
7658.545647	1.593312	
7658.547247	1.593071	
7658.548889	1.593332	
7658.550493	1.593159	
7658.552133	1.593320	
7658.553754	1.593103	
7658.555367	1.593486	
7658.557021	1.593147	
7658.558595	1.593244	
7658.560275	1.593147	
7658.561853	1.593296	
7658.563551	1.593163	
7658.565114	1.593264	
7658.566798	1.593139	
7658.568340	1.593284	
7658.570072	1.593208	
7658.571614	1.593385	
7658.573355	1.593304	
7658.574867	1.593228	
7658.576641	1.593256	
7658.578139	1.593361	
7658.579891	1.593373	
7658.581373	1.593188	
7658.583147	1.593252	
7658.584628	1.593204	
7658.586412	1.593272	
7658.587888	1.593107	
7658.589651	1.593389	
7658.591147	1.593155	
7658.592913	1.593248	
7658.594413	1.593179	
7658.596153	1.593393	
7658.597677	1.593365	
7658.599404	1.593361	
7658.600941	1.593175	
7658.602661	1.593494	
7658.604202	1.593196	
7658.605885	1.593425	
7658.607438	1.593208	
7658.609138	1.593409	
7658.610710	1.593179	
7658.612383	1.593345	
7658.613970	1.593264	
7658.615620	1.593349	
7658.617203	1.593087	
7658.618847	1.593280	
7658.620463	1.593296	
7658.622083	1.593320	
7658.623726	1.593163	
7658.625328	1.593405	
7658.626999	1.593244	
7658.628584	1.593389	
7658.630232	1.593268	
7658.631800	1.593288	
7658.633511	1.593284	
7658.635061	1.593296	
7658.636759	1.593300	
7658.638299	1.593357	
7658.639995	1.593163	
7658.641501	1.593325	
7658.643243	1.593284	
7658.644721	1.593337	
7658.646493	1.593329	
7658.647987	1.593248	
7658.649750	1.593272	
7658.651228	1.593224	
7658.653016	1.593397	
7658.654497	1.593260	
7658.656250	1.593284	
7658.657744	1.593220	
7658.659502	1.593272	
7658.661017	1.593232	
7658.662748	1.593208	
7658.664280	1.593256	
7658.665999	1.593316	
7658.667533	1.593143	
7658.669237	1.593349	
7658.670786	1.593256	
7658.672475	1.593272	
7658.674044	1.593123	
7658.675709	1.593341	
7658.677300	1.593199	
7658.678955	1.593333	
7658.680541	1.593163	
7658.682168	1.593349	
7658.683765	1.593256	
7658.685411	1.593308	
7658.687074	1.593204	
7658.688666	1.593381	
7658.690338	1.593107	
7658.691938	1.593324	
7658.693600	1.593244	
7658.695194	1.593333	
7658.696856	1.593051	
7658.698426	1.593357	
7658.700135	1.593224	
7658.701675	1.593345	
7658.703375	1.593216	
7658.704907	1.593171	
7658.706628	1.593200	
7658.708134	1.593268	
7658.709899	1.593196	
7658.711394	1.593147	
7658.713191	1.593232	
7658.714670	1.593163	
7658.716449	1.593127	
7658.717930	1.593208	
7658.719673	1.593224	
7658.721157	1.593127	
7658.722900	1.593079	
7658.724430	1.593103	
7658.725915	1.593131	
7658.727519	1.593175	
7658.729010	1.593151	
7658.730620	1.593123	
7658.732105	1.593050	
7658.733696	1.593159	
7658.735170	1.593155	
7658.736744	1.593111	
7658.738258	1.593103	
7658.739808	1.593200	
7658.741335	1.593131	
7658.742858	1.593091	
7658.744424	1.593200	
7658.745909	1.593228	
7658.747513	1.593171	
7658.748993	1.593079	
7658.750639	1.592672	
7658.752135	1.582662	
7658.753767	1.495597	
7658.755290	1.435366	
7658.756928	1.388573	
7658.758408	1.334964	
7658.760042	1.267413	
7658.761523	1.219355	
7658.763075	1.181384	
7658.764569	1.127973	
7658.766159	1.084121	
7658.767694	1.053586	
7658.769250	1.019583	
7658.770840	0.990648	
7658.772328	0.934976	
7658.773981	0.906016	
7658.775470	0.862913	
7658.777109	0.814123	
7658.778628	0.778214	
7658.780277	0.746137	
7658.781766	0.709668	
7658.783422	0.676003	
7658.784908	0.671145	
7658.786549	0.632679	
7658.788050	0.613395	
7658.789704	0.587328	
7658.791188	0.573177	
7658.792800	0.534666	
7658.794322	0.499708	
7658.795864	0.486640	
7658.797459	0.461894	
7658.798960	0.434768	
7658.800602	0.425293	
7658.802103	0.412120	
7658.803732	0.397292	
7658.805253	0.376997	
7658.806890	0.364151	
7658.808363	0.352719	
7658.809988	0.327086	
7658.811466	0.324545	
7658.813099	0.303021	
7658.814569	0.283001	
7658.816188	0.264333	
7658.817700	0.265828	
7658.819265	0.259906	
7658.820837	0.249114	
7658.822328	0.238919	
7658.823982	0.230765	
7658.825470	0.223547	
7658.827100	0.217871	
7658.828620	0.199203	
7658.830260	0.197656	
7658.831730	0.181350	
7658.833379	0.174059	
7658.834852	0.179026	
7658.836500	0.175009	
7658.837980	0.169680	
7658.839606	0.183122	
7658.841124	0.193181	
7658.842692	0.170248	
7658.844235	0.150859	
7658.845748	0.152974	
7658.847376	0.143439	
7658.848863	0.134472	
7658.850506	0.147842	
7658.852029	0.146191	
7658.853683	0.150340	
7658.855158	0.145897	
7658.856795	0.147093	
7658.858274	0.147250	
7658.859917	0.132748	
7658.861415	0.126947	
7658.863039	0.120828	
7658.864540	0.124683	
7658.866122	0.116848	
7658.867657	0.127975	
7658.869215	0.128067	
7658.870800	0.126081	
7658.872296	0.120853	
7658.873970	0.130005	
7658.875466	0.124265	
7658.877093	0.109118	
7658.878613	0.103503	
7658.880238	0.098592	
7658.881724	0.093037	
7658.883451	0.089548	
7658.884921	0.096816	
7658.886574	0.094640	
7658.888052	0.091591	
7658.889737	0.091373	
7658.891220	0.094983	
7658.892913	0.080456	
7658.894414	0.066994	
7658.896081	0.062772	
7658.897618	0.058921	
7658.899251	0.047086	
7658.900814	0.053636	
7658.902415	0.055114	
7658.904008	0.050188	
7658.905593	0.054095	
7658.907182	0.050264	
7658.908734	0.034723	
7658.910370	0.024600	
7658.911868	0.033377	
7658.913583	0.020092	
7658.915056	0.018247	
7658.916779	0.012777	
7658.918246	0.024064	
7658.919979	0.020592	
7658.921457	0.017913	
7658.923179	0.019407	
7658.924655	0.020704	
7658.926375	0.009417	
7658.927857	-0.002845	
7658.929548	-0.002853	
7658.931064	-0.006503	
7658.932701	-0.016215	
7658.934225	-0.015212	
7658.935857	-0.008344	
7658.937409	-0.010571	
7658.938999	-0.013299	
7658.940595	-0.007707	
7658.942146	-0.013456	
7658.943772	-0.028183	
7658.945288	-0.027261	
7658.946974	-0.026918	
7658.948448	-0.034907	
7658.950172	-0.039394	
7658.951645	-0.028654	
7658.953353	-0.025025	
7658.954829	-0.028812	
7658.956535	-0.023035	
7658.958019	-0.019027	
7658.959735	-0.033416	
7658.961229	-0.038351	
7658.962913	-0.037029	
7658.964398	-0.039837	
7658.966065	-0.042045	
7658.967582	-0.036880	
7658.969211	-0.030443	
7658.970764	-0.029315	
7658.972363	-0.025255	
7658.973963	-0.018108	
7658.975515	-0.021049	
7658.977133	-0.027559	
7658.978660	-0.028953	
7658.980359	-0.029339	
7658.981834	-0.033984	
7658.983544	-0.032864	
7658.985020	-0.020985	
7658.986725	-0.013552	
7658.988200	-0.012018	
7658.989916	-0.003659	
7658.991409	0.010126	
7658.993129	0.000156	
7658.994616	-0.001749	
7658.996323	0.001856	
7658.997800	-0.001286	
7658.999461	-0.003115	
7659.000978	0.002509	
7659.002699	0.013731	
7659.004230	0.015584	
7659.005924	0.022316	
7659.007476	0.028523	
7659.009171	0.018960	
7659.010739	0.018811	
7659.012437	0.015830	
7659.014002	0.010223	
7659.015673	0.006940	
7659.017258	0.019669	
7659.018917	0.023267	
7659.020510	0.024886	
7659.022135	0.022719	
7659.023762	0.034743	
7659.025393	0.036487	
7659.027021	0.021587	
7659.028627	0.023689	
7659.030289	0.016213	
7659.031873	0.007105	
7659.033560	0.019915	
7659.035127	0.011991	
7659.036836	0.017607	
7659.038395	0.027549	
7659.040090	0.026610	
7659.041646	0.028813	
7659.043337	0.016769	
7659.044888	0.013812	
7659.046625	0.011480	
7659.048130	0.006033	
7659.049878	-0.001467	
7659.051357	0.012003	
7659.053139	0.018372	
7659.054622	0.014916	
7659.056401	0.018195	
7659.057887	0.014787	
7659.059690	0.000458	
7659.061166	-0.004247	
7659.062925	-0.006293	
7659.064417	-0.005415	
7659.066137	-0.006015	
7659.067651	0.000104	
7659.069359	0.000627	
7659.070878	-0.007856	
7659.072590	-0.006156	
7659.074136	0.006481	
7659.075817	-0.005282	
7659.077371	-0.018467	
7659.079043	-0.009174	
7659.080615	-0.013975	
7659.082269	-0.026616	
7659.083844	-0.022701	
7659.085475	-0.012231	
7659.087096	-0.018991	
7659.088702	-0.018366	
7659.090355	-0.010161	
7659.091962	-0.017480	
7659.093601	-0.030673	
7659.095208	-0.032131	
7659.096889	-0.034540	
7659.098471	-0.040341	
7659.100154	-0.041976	
7659.101718	-0.035865	
7659.103416	-0.035265	
7659.104972	-0.032755	
7659.106669	-0.015450	
7659.108210	-0.016070	
7659.109917	-0.025267	
7659.111421	-0.032707	
7659.113182	-0.034467	
7659.114660	-0.039877	
7659.116438	-0.045155	
7659.117920	-0.032256	
7659.119695	-0.021424	
7659.121171	-0.020050	
7659.122935	-0.007619	
7659.124439	-0.008271	
7659.126192	-0.014032	
7659.127688	-0.019148	
7659.129434	-0.016904	
7659.130950	-0.019023	
7659.132669	-0.020892	
7659.134199	-0.007163	
7659.135901	0.001195	
7659.137456	-0.001133	
7659.139120	0.010577	
7659.140688	0.013703	
7659.142369	0.017691	
7659.143953	0.005381	
7659.145635	0.007435	
7659.147221	0.015407	
7659.148868	0.002714	
7659.150480	0.010138	
7659.152097	0.017865	
7659.153717	0.022380	
7659.155328	0.019496	
7659.156987	0.029688	
7659.158593	0.030308	
7659.160255	0.016491	
7659.161851	0.008889	
7659.163532	0.004301	
7659.165090	-0.002164	
7659.166783	-0.009657	
7659.168324	0.000511	
7659.170018	0.010038	
7659.171569	0.011943	
7659.173284	0.006557	
7659.174825	0.011443	
7659.176558	-0.001971	
7659.178047	-0.013017	
7659.179836	-0.014402	
7659.181315	-0.034890	
7659.183099	-0.037428	
7659.184581	-0.028058	
7659.186351	-0.028107	
7659.187835	-0.033525	
7659.189599	-0.033460	
7659.191086	-0.031809	
7659.192852	-0.048164	
7659.194352	-0.061763	
7659.196072	-0.069171	
7659.197596	-0.072551	
7659.199293	-0.084294	
7659.200819	-0.085639	
7659.202515	-0.084177	
7659.204085	-0.088781	
7659.205780	-0.093700	
7659.207331	-0.094316	
7659.208997	-0.113837	
7659.210577	-0.131336	
7659.212228	-0.138305	
7659.213835	-0.148143	
7659.215467	-0.161227	
7659.217081	-0.166911	
7659.218692	-0.167616	
7659.220324	-0.178101	
7659.221933	-0.189393	
7659.223585	-0.194529	
7659.225188	-0.199862	
7659.226859	-0.221055	
7659.228424	-0.237056	
7659.230120	-0.242860	
7659.231678	-0.264678	
7659.233396	-0.273879	
7659.234951	-0.274576	
7659.236643	-0.285967	
7659.238174	-0.293114	
7659.239901	-0.294411	
7659.241391	-0.305416	
7659.243155	-0.321328	
7659.244629	-0.343480	
7659.246399	-0.348398	
7659.247876	-0.359803	
7659.249641	-0.375022	
7659.251122	-0.374284	
7659.252887	-0.376403	
7659.254390	-0.387981	
7659.256132	-0.390748	
7659.257643	-0.387759	
7659.259368	-0.407643	
7659.260889	-0.422906	
7659.262596	-0.435104	
7659.264134	-0.449054	
7659.265830	-0.456486	
7659.267379	-0.461461	
7659.269049	-0.459532	
7659.270628	-0.467568	
7659.272292	-0.471419	
7659.273865	-0.475653	
7659.275527	-0.493160	
7659.277120	-0.517890	
7659.278771	-0.529471	
7659.280394	-0.544827	
7659.281999	-0.566818	
7659.283676	-0.575640	
7659.285269	-0.580990	
7659.286934	-0.592478	
7659.288529	-0.608072	
7659.290199	-0.622663	
7659.291781	-0.645104	
7659.293458	-0.682950	
7659.295016	-0.708063	
7659.296728	-0.733272	
7659.298272	-0.764971	
7659.299996	-0.790225	
7659.301545	-0.806733	
7659.303271	-0.832695	
7659.304803	-0.861727	
7659.306540	-0.897970	
7659.308018	-0.934559	
7659.309790	-0.992072	
7659.311268	-1.032693	
7659.313051	-1.079929	
7659.314537	-1.119963	
7659.316315	-1.174466	
7659.317788	-1.209150	
7659.319558	-1.251326	
7659.321045	-1.295912	
7659.322813	-1.355990	
7659.324320	-1.410062	
7659.326058	-1.484884	
7659.327570	-1.554409	
7659.329279	-1.616034	
7659.330813	-1.654891	
7659.332522	-1.661510	
7659.334079	-1.661591	
7659.335757	-1.661474	
7659.337323	-1.661639	
7659.339003	-1.661526	
7659.340582	-1.661707	
7659.342241	-1.661550	
7659.343828	-1.661667	
7659.345446	-1.661522	
7659.347052	-1.661663	
7659.348669	-1.661417	
7659.350335	-1.661635	
7659.351949	-1.661441	
7659.353597	-1.661639	
7659.355194	-1.661582	
7659.356864	-1.661603	
7659.358429	-1.661615	
7659.360130	-1.661663	
7659.361687	-1.661550	
7659.363403	-1.661619	
7659.364962	-1.661744	
7659.366663	-1.661623	
7659.368202	-1.661526	
7659.369903	-1.661683	
7659.371408	-1.661671	
7659.373187	-1.661599	
7659.374662	-1.661707	
7659.376446	-1.661675	
7659.377927	-1.661651	
7659.379686	-1.661639	
7659.381167	-1.661615	
7659.382956	-1.661558	
7659.384446	-1.661731	
7659.386216	-1.661711	
7659.387707	-1.661723	
7659.389460	-1.661647	
7659.390965	-1.661707	
7659.392691	-1.661538	
7659.394219	-1.661643	
7659.395935	-1.661687	
7659.397472	-1.661703	
7659.399178	-1.661707	
7659.400724	-1.661764	
7659.402406	-1.661574	
7659.403972	-1.661877	
7659.405667	-1.661603	
7659.407248	-1.661683	
7659.408916	-1.661655	
7659.410507	-1.661731	
7659.412132	-1.661635	
7659.413735	-1.661647	
7659.415351	-1.661699	
7659.416983	-1.661792	
7659.418596	-1.661683	
7659.420239	-1.661748	
7659.421825	-1.661615	
7659.423523	-1.661764	
7659.425098	-1.661756	
7659.426783	-1.661711	
7659.428340	-1.661703	
7659.430050	-1.661800	
7659.431602	-1.661744	
7659.433282	-1.661740	
7659.434822	-1.661619	
7659.436557	-1.661828	
7659.438049	-1.661752	
7659.439805	-1.661671	
7659.441282	-1.661756	
7659.443053	-1.661740	
7659.444535	-1.661824	
7659.446315	-1.661760	
7659.447799	-1.661695	
7659.449573	-1.661732	
7659.451054	-1.661723	
7659.452824	-1.661687	
7659.454329	-1.661865	
7659.456069	-1.661800	
7659.457585	-1.661840	
7659.459289	-1.661671	
7659.460820	-1.661824	
7659.462533	-1.661603	
7659.464089	-1.661772	
7659.465778	-1.661719	
7659.467342	-1.661840	
7659.469012	-1.661683	
7659.470584	-1.661792	
7659.472247	-1.661784	
7659.473837	-1.661812	
7659.475476	-1.661578	
7659.477083	-1.661808	
7659.478694	-1.661619	
7659.480329	-1.661780	
7659.481933	-1.661695	
7659.483573	-1.661727	
7659.485165	-1.661587	
7659.486842	-1.661856	
7659.488406	-1.661760	
7659.490082	-1.661703	
7659.491638	-1.661703	
7659.493347	-1.661860	
7659.494900	-1.661711	
7659.496578	-1.661639	
7659.498092	-1.661820	
7659.499845	-1.661740	
7659.501336	-1.661736	
7659.503132	-1.661748	
7659.504612	-1.661607	
7659.506403	-1.661663	
7659.507882	-1.661687	
7659.509643	-1.661611	
7659.511120	-1.661643	
7659.512883	-1.661595	
7659.514377	-1.661554	
7659.516128	-1.661591	
7659.517638	-1.661691	
7659.519357	-1.661639	
7659.520878	-1.661603	
7659.522597	-1.661518	
7659.524132	-1.661716	
7659.525843	-1.661522	
7659.527399	-1.661582	
7659.529071	-1.661615	
7659.530640	-1.661687	
7659.532306	-1.661530	
7659.533881	-1.661699	
7659.535543	-1.661433	
7659.537132	-1.659262	
7659.538767	-1.477077	
7659.540386	-1.275818	
7659.542005	-1.085001	
7659.543634	-0.902103	
7659.545224	-0.704333	
7659.546903	-0.489136	
7659.548510	-0.303974	
7659.550154	-0.108331	
7659.551733	0.081742	
7659.553429	0.270799	
7659.554975	0.438171	
7659.556678	0.648776	
7659.558213	0.828963	
7659.559923	1.034685	
7659.561432	1.227718	
7659.563170	1.443491	
7659.564663	1.574468	
7659.566453	1.593071	
7659.567931	1.593224	
7659.569720	1.593236	
7659.571200	1.593127	
7659.572983	1.593099	
7659.574470	1.593212	
7659.576232	1.593236	
7659.577720	1.593192	
7659.579480	1.593204	
7659.580984	1.593103	
7659.582731	1.593288	
7659.584246	1.593163	
7659.585956	1.593312	
7659.587484	1.593308	
7659.589202	1.593204	
7659.590755	1.593200	
7659.592441	1.593397	
7659.594003	1.593123	
7659.595712	1.593292	
7659.597266	1.593091	
7659.598931	1.593365	
7659.600511	1.593131	
7659.602170	1.593365	
7659.603765	1.593119	
7659.605393	1.593280	
7659.607023	1.593183	
7659.608642	1.593397	
7659.610302	1.593147	
7659.611906	1.593401	
7659.613555	1.593188	
7659.615160	1.593248	
7659.616828	1.593139	
7659.618401	1.593337	
7659.620097	1.593252	
7659.621653	1.593272	
7659.623352	1.593341	
7659.624903	1.593260	
7659.626600	1.593260	
7659.628151	1.593312	
7659.629866	1.593075	
7659.631372	1.593341	
7659.633153	1.593341	
7659.634637	1.593328	
7659.636415	1.593292	
7659.637894	1.593252	
7659.639423	1.593248	
7659.641000	1.593341	
7659.642479	1.593264	
7659.644088	1.593276	
7659.645575	1.593284	
7659.647163	1.593167	
7659.648661	1.593212	
7659.650237	1.593373	
7659.651717	1.593187	
7659.653270	1.593244	
7659.654798	1.593236	
7659.656370	1.593341	
7659.657889	1.593236	
7659.659387	1.593276	
7659.660985	1.593184	
7659.662478	1.593168	
7659.664065	1.593296	
7659.665557	1.593179	
7659.667230	1.593179	
7659.668702	1.593320	
7659.670332	1.593361	
7659.671851	1.593345	
7659.673487	1.593208	
7659.674959	1.593236	
7659.676540	1.593183	
7659.678013	1.593155	
7659.679658	1.593244	
7659.681135	1.593208	
7659.682734	1.593256	
7659.684260	1.593208	
7659.685815	1.593208	
7659.687421	1.593308	
7659.688899	1.593163	
7659.690565	1.593244	
7659.692054	1.593236	
7659.693705	1.593212	
7659.695226	1.593159	
7659.696857	1.593264	
7659.698332	1.593212	
7659.699972	1.593240	
7659.701443	1.593248	
7659.703081	1.593143	
7659.704574	1.593143	
7659.706178	1.593175	
7659.707690	1.593147	
7659.709263	1.593421	
7659.710811	1.593195	
7659.712345	1.593316	
7659.713970	1.593147	
7659.715465	1.593232	
7659.717095	1.593079	
7659.718613	1.593183	
7659.720246	1.593176	
7659.721727	1.593240	
7659.723355	1.593220	
7659.724835	1.593163	
7659.726474	1.593199	
7659.727975	1.593204	
7659.729609	1.593240	
7659.731113	1.593204	
7659.732708	1.593292	
7659.734226	1.593151	
7659.735785	1.593224	
7659.737364	1.593067	
7659.738855	1.593228	
7659.740531	1.593147	
7659.742018	1.593163	
7659.743642	1.593183	
7659.745164	1.593022	
7659.746803	1.593308	
7659.748283	1.593063	
7659.749927	1.593179	
7659.751416	1.593123	
7659.753064	1.593035	
7659.754542	1.593167	
7659.756173	1.593313	
7659.757668	1.593200	
7659.759243	1.593256	
7659.760790	1.593083	
7659.762325	1.593151	
7659.763959	1.593123	
7659.765438	1.593127	
7659.767070	1.593091	
7659.768592	1.593147	
7659.770245	1.593171	
7659.771721	1.592958	
7659.773381	1.593111	
7659.774849	1.593248	
7659.776494	1.593184	
7659.777973	1.593107	
7659.779623	1.593176	
7659.781119	1.585852	
7659.782710	1.484737	
7659.784237	1.429642	
7659.785780	1.390213	
7659.787345	1.318492	
7659.788923	1.264307	
7659.790518	1.219698	
7659.792078	1.177719	
7659.793693	1.118341	
7659.795215	1.063439	
7659.796915	1.006608	
7659.798405	0.963940	
7659.800114	0.914927	
7659.801602	0.885823	
7659.803312	0.847223	
7659.804794	0.805905	
7659.806517	0.775338	
7659.808002	0.735010	
7659.809701	0.686622	
7659.811184	0.650750	
7659.812878	0.615728	
7659.814372	0.580113	
7659.816054	0.558783	
7659.817572	0.540849	
7659.819202	0.509557	
7659.820750	0.482447	
7659.822358	0.460839	
7659.823939	0.441595	
7659.825534	0.424854	
7659.827127	0.384756	
7659.828678	0.369678	
7659.830299	0.355200	
7659.831804	0.322293	
7659.833505	0.318595	
7659.834975	0.300737	
7659.836715	0.290799	
7659.838185	0.282731	
7659.839896	0.268905	
7659.841381	0.257574	
7659.843087	0.233899	
7659.844577	0.219442	
7659.846276	0.218322	
7659.847755	0.211639	
7659.849436	0.190768	
7659.850957	0.202543	
7659.852598	0.202575	
7659.854119	0.193962	
7659.855745	0.188806	
7659.857305	0.198817	
7659.858904	0.183690	
7659.860514	0.170490	
7659.862074	0.169394	
7659.863695	0.170965	
7659.865211	0.153571	
7659.866891	0.157244	
7659.868362	0.164302	
7659.870093	0.167549	
7659.871570	0.157611	
7659.873289	0.174200	
7659.874769	0.175271	
7659.876455	0.155105	
7659.877939	0.146783	
7659.879657	0.150795	
7659.881153	0.149478	
7659.882853	0.135536	
7659.884337	0.149546	
7659.886007	0.150779	
7659.887526	0.145393	
7659.889165	0.142195	
7659.890703	0.154082	
7659.892307	0.147319	
7659.893880	0.130790	
7659.895551	0.127789	
7659.897142	0.119737	
7659.898694	0.115672	
7659.900312	0.114262	
7659.901923	0.114427	
