time (s)	magX	magY	magZ
1553.100554	134.814728	-0.995909	9.350086
1553.103831	134.756287	-1.054355	9.350086
1553.107190	133.996490	0.289888	8.356514
1553.110523	133.528931	0.231443	8.122734
1553.113921	133.178253	1.108124	8.707188
1553.117236	132.769135	1.166569	8.707188
1553.120963	132.710693	2.861484	8.590298
1553.124312	133.061371	2.569257	8.765633
1553.127620	133.236694	2.919930	8.181179
1553.131032	132.827591	3.270601	8.356514
1553.134387	133.821152	4.264172	8.531853
1553.137717	133.470490	4.322618	9.876095
1553.140675	134.639389	4.264172	9.700756
1553.144277	134.990067	5.257744	10.869663
1553.147622	135.866745	5.608416	10.811218
1553.151006	135.808289	6.192869	11.278782
1553.154361	136.626526	5.900642	10.928108
1553.157776	137.152542	6.601986	12.213909
1553.161075	138.613678	6.660433	12.272354
1553.164403	138.964355	6.601986	12.798359
1553.167708	140.133255	6.777323	13.967266
1553.171073	139.782578	7.478666	14.727058
1553.174419	141.594391	7.595558	15.779076
1553.177726	142.120392	7.654003	15.720627
1553.181028	143.055527	7.011105	15.253063
1553.184343	143.347748	7.186440	16.012856
1553.187665	143.639969	7.420221	16.305080
1553.191072	144.984222	6.894213	17.240208
1553.194371	145.393341	7.011105	16.889534
1553.197688	145.919342	6.718878	17.240208
1553.201045	146.211578	6.894213	17.006424
1553.204383	146.620682	6.017534	17.357098
1553.208147	146.971359	5.900642	17.707767
1553.211465	147.497375	5.900642	17.649326
1553.214807	147.672699	5.725307	17.415546
1553.218119	148.198715	5.374636	17.298653
1553.221472	148.783173	5.900642	16.655754
1553.224896	148.549393	6.134424	16.480419
1553.228189	148.841614	5.433081	16.772644
1553.231500	149.952072	5.900642	17.123314
1553.234843	150.945633	5.374636	16.071301
1553.238204	151.705429	5.608416	16.831093
1553.241529	152.114548	6.426651	16.831093
1553.244905	153.283447	6.485096	16.831093
1553.248210	153.984802	6.894213	17.298653
1553.251560	154.861481	7.361776	17.123314
1553.254845	156.439514	7.946230	17.824657
1553.258155	157.374634	8.822910	18.292221
1553.261496	158.894211	9.465809	18.993565
1553.264801	160.822906	9.290474	19.110462
1553.268236	162.167160	9.874928	20.571594
1553.271568	164.271194	10.693161	21.565166
1553.274919	166.725891	11.628286	22.266510
1553.278302	169.005264	12.329632	24.838104
1553.281643	170.933945	12.855639	25.831673
1553.284950	172.979553	13.790766	27.292809
1553.288372	175.960251	14.842781	28.870838
1553.291655	177.830505	15.076563	30.799526
1553.294985	180.869659	15.836353	32.026882
1553.298330	183.032135	16.537697	34.130917
1553.301638	186.305084	17.005259	35.182934
1553.304967	188.584442	17.648157	38.046757
1553.308373	191.389816	18.232611	39.917011
1553.311662	195.013443	18.933956	42.137928
1553.315018	198.169495	19.167736	44.534184
1553.318752	201.091751	19.167736	46.930447
1553.322096	204.014023	19.459963	48.099354
1553.325452	206.234940	20.161306	49.911160
1553.328763	209.858551	20.044416	51.898304
1553.332125	212.722382	19.869081	53.885448
1553.335453	215.644638	19.927526	55.697254
1553.338800	218.508469	20.570429	57.976620
1553.342109	221.372284	20.570429	60.080654
1553.345485	224.236115	20.453535	61.775570
1553.348854	227.509048	20.745764	62.593800
1553.352162	230.431320	19.810635	63.938046
1553.355473	232.769135	20.219753	66.042068
1553.358842	236.568085	20.745764	67.737000
1553.362190	238.964340	20.921099	69.782578
1553.365563	241.769714	21.096437	70.659271
1553.368876	244.516663	20.979544	72.646408
1553.372181	248.607834	21.856226	75.919342
1553.375534	251.646973	22.323790	77.205139
1553.378867	254.627686	22.674459	78.958496
1553.382157	258.485107	23.784922	82.114548
